-41,-94,28,91
12,-72,-7,-83
-69,-17,-24,13
-71,19,-42,1
64,-94,14,-86
-31,-10,55,76
75,-7,-18,92
-36,-49,27,-68
4,-72,86,34
-37,96,-31,19
53,-45,64,-61
89,-9,-78,-10
43,94,-69,-11
93,17,-71,97
-23,-34,97,54
58,24,21,-20
1,-26,100,11
60,58,-70,2
-89,-76,-65,75
83,15,-21,-68
17,99,54,76
-33,-51,11,-20
-59,-27,12,26
-76,-88,-39,-84
-80,50,-56,53
20,82,-29,50
-99,78,-10,-82
53,70,88,-95
82,38,71,-65
52,-6,-56,-54
75,87,-51,-81
-54,100,-74,29
35,30,-90,-63
34,90,40,-4
35,-15,-88,-98
12,89,-55,-56
12,-22,-28,-91
55,60,-46,-2
-82,-23,-60,-55
56,26,44,-98
10,95,24,5
20,77,-16,-25
-88,20,61,-2
-6,72,-50,93
-92,35,48,78
-60,-8,5,67
69,71,95,60
23,-43,36,42
-39,-64,11,48
-90,-6,-97,79
-86,-41,13,81
-25,97,-84,-58
-66,-15,57,59
-88,-17,-59,92
27,-98,71,46
-60,-28,46,59
55,86,23,28
58,91,99,-38
-97,-14,-93,-10
-99,-86,5,33
-27,-90,-75,-50
-22,-41,-88,58
-3,-64,-71,-4
-36,6,-90,29
-54,51,-57,-73
63,53,-75,38
31,-77,-41,18
-14,-57,94,26
90,43,42,45
-3,-26,33,-88
-21,-100,29,-91
20,-24,-53,-75
0,98,-26,100
10,8,-84,-72
2,51,-24,-36
10,28,-7,-70
99,21,-18,9
-25,43,16,63
80,88,61,-82
87,32,-5,-10
69,3,-4,0
-34,-82,-75,-30
71,46,5,-14
-68,46,-5,-23
22,60,18,-42
-11,-11,92,20
81,19,18,-91
27,-56,82,4
-45,28,12,-41
-100,57,-73,97
65,-89,79,-45
-27,-96,-54,67
78,-94,19,-98
-77,-15,-87,-49
61,-67,83,-67
-54,-91,-60,-46
90,-68,42,92
-77,88,84,78
-86,-79,63,5
-78,96,2,78
-68,56,-61,-58
-81,-28,89,-61
38,20,32,90
20,-26,97,-3
79,40,-96,16
11,-89,52,-39
84,-90,-55,-95
-2,64,11,69
-70,93,67,-85
41,22,-64,-91
35,-98,28,23
-94,81,-91,26
4,-2,-77,-36
54,-23,-87,-45
-68,-10,3,-83
-87,56,41,-65
-76,-46,36,27
75,89,58,-33
-97,82,-75,9
10,100,39,-48
-85,40,-48,17
-47,-54,-87,17
16,58,-81,-94
-54,77,59,20
-17,-12,-85,-39
60,-90,1,38
-88,-71,22,36
-62,-79,56,82
54,43,50,-55
-84,-18,-26,-42
30,-22,21,-16
44,55,84,-75
100,-22,98,-47
-2,-38,-56,46
-85,-53,-16,-27
-3,51,-66,16
-76,-30,4,-88
28,-45,56,-20
91,-24,49,30
49,92,-22,-85
95,-77,-55,-11
-42,41,-22,52
-45,91,-56,-11
82,72,67,-63
81,77,-92,50
99,92,67,77
-48,-40,25,49
0,75,54,-53
94,-28,95,-45
3,13,-29,-28
76,-67,11,8
-36,-91,3,11
44,-83,-2,-64
28,30,89,-56
-34,80,28,-26
32,-28,61,36
65,60,94,-44
-55,-11,35,-39
63,21,36,96
-36,89,97,-94
-23,50,100,-80
52,13,-43,76
-70,-11,32,45
53,-52,21,-70
-28,4,57,-6
-57,60,75,-44
86,-19,96,51
-24,70,72,88
20,-37,-83,-89
16,40,-92,42
90,-11,71,2
-85,29,-41,-57
-20,-78,15,16
31,38,40,-81
-96,68,33,20
37,-88,24,-26
53,35,-86,17
75,-53,-63,-16
-28,-2,59,-61
-48,46,-79,-86
-66,-53,86,58
-96,4,60,80
71,-50,34,-54
95,-97,61,-32
-10,-39,-99,66
-14,-68,-1,-28
-7,2,-9,34
-97,73,9,61
76,-87,-71,66
100,22,-72,-96
-83,-19,-50,42
60,97,71,-89
98,66,-68,28
-56,64,-46,-69
-50,31,-82,-12
47,70,-3,-82
-69,-37,-76,84
91,60,-89,2
-28,-8,-89,-70
-56,32,19,18
-100,3,-1,-61
99,-6,69,-56
-47,70,-4,10
-33,97,-70,25
-12,10,-15,-64
41,41,77,-72
44,83,63,26
88,93,30,-44
-23,-66,13,91
-10,-66,29,-56
14,-89,-31,25
93,-47,38,-89
-83,-57,-65,16
36,6,18,-67
52,99,-71,80
14,66,-47,26
-82,3,-57,-4
52,-72,-88,-10
3,17,13,-38
52,49,97,50
83,48,-64,98
62,18,39,24
-78,-79,-97,93
77,63,-24,-76
71,79,-71,-84
-80,36,39,-58
57,-3,28,-100
-24,-44,-97,-51
-95,-82,83,-78
60,26,96,-91
-88,-30,73,81
78,-4,87,3
-28,53,3,-15
84,-16,-65,89
41,27,63,74
-86,25,86,-59
-37,-25,-9,-94
-43,-49,82,-17
-47,28,10,-32
28,-76,-20,-58
50,66,2,-23
-73,-50,20,84
-14,69,-17,30
91,-82,80,31
-77,2,75,-16
-40,60,-51,8
63,32,100,-61
-82,-63,-77,16
-62,56,36,-24
40,-16,93,55
53,14,27,-87
-97,50,-47,77
53,75,0,10
-90,-98,21,-66
-35,-14,21,-39
-13,30,26,86
0,20,-1,93
-26,63,-58,91
-66,53,99,-21
6,78,-26,80
-37,55,-66,-71
72,-10,97,99
80,2,-45,42
-22,-14,28,-37
-80,-28,-38,-86
-89,92,-44,34
85,29,24,-59
-89,61,-89,52
-52,-24,65,34
21,-56,4,38
-96,1,-16,-91
65,-6,-95,10
54,68,-29,-34
-84,-23,99,-45
87,-35,-68,37
68,79,-50,52
89,91,-69,4
-13,-67,33,-36
-31,59,-68,-35
96,57,-76,39
54,99,-48,35
8,-90,-3,-51
47,-66,-40,62
-7,4,51,84
-27,-35,94,83
0,-77,-34,73
74,-18,84,73
32,96,-54,-71
17,-7,-32,90
-71,-90,38,38
99,-44,-70,37
-16,-32,70,-27
-21,-60,-35,-81
-17,64,1,63
-91,19,-23,56
-10,-9,34,29
65,64,-69,-31
-57,-16,26,27
-59,55,13,-63
20,-34,-2,-68
25,51,-35,61
29,-31,35,21
-69,-52,-57,1
62,65,79,85
19,81,51,20
37,-99,-7,69
43,-73,4,-30
62,10,98,92
-66,29,-99,-81
49,-2,23,33
25,-53,-13,31
42,41,69,1
60,34,-49,-68
12,-98,-6,83
-8,-22,0,-89
91,-72,17,76
-3,-55,-45,32
-70,-61,86,5
-72,94,1,56
32,49,-33,99
30,-47,-25,17
-73,-43,-71,19
-15,-26,87,-54
-14,69,83,-80
68,-86,-100,-23
-47,-86,-14,53
26,-97,-53,-97
27,91,-38,-93
-52,-56,-47,12
26,-65,59,-81
80,-12,89,38
19,42,-44,69
63,-77,-25,-19
-53,69,-5,-86
76,-27,-74,11
-74,40,6,4
-41,-83,-43,-12
-26,95,31,-95
-32,80,61,72
-8,-37,-32,18
13,-68,84,-1
-71,11,-57,-67
-77,28,48,-79
12,65,25,-62
72,90,58,-17
2,99,40,-82
-76,1,-27,-97
43,91,78,-56
65,-37,75,15
-81,-90,-74,-28
85,16,-3,18
73,-83,0,-98
-64,51,79,-86
28,70,14,-6
45,-73,23,-32
9,-99,13,97
-66,9,97,-83
-49,89,-85,-9
-29,-44,23,-42
-85,98,93,60
51,30,16,-65
-25,27,-99,-63
-26,53,56,59
-14,-79,60,60
98,-65,-1,60
